task,acc,sub
mixed,0.4,MSC02
mixed,0.35,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.7,MSC02
mixed,0.45,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.35,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.2,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.4,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.25,MSC02
mixed,0.35,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.7,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.8,MSC02
mixed,0.35,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.25,MSC02
mixed,0.55,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.7,MSC02
mixed,0.7,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.3,MSC02
mixed,0.35,MSC02
mixed,0.8,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.85,MSC02
mixed,0.65,MSC02
mixed,0.3,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.65,MSC02
mixed,0.5,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.25,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.75,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.35,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.45,MSC02
mixed,0.8,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.75,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.4,MSC02
mixed,0.5,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.8,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.25,MSC02
mixed,0.8,MSC02
mixed,0.45,MSC02
mixed,0.35,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.85,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.45,MSC02
mixed,0.25,MSC02
mixed,0.8,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.75,MSC02
mixed,0.4,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.8,MSC02
mixed,0.5,MSC02
mixed,0.65,MSC02
mixed,0.7,MSC02
mixed,0.3,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.75,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.75,MSC02
mixed,0.4,MSC02
mixed,0.45,MSC02
mixed,0.85,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.2,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.65,MSC02
mixed,0.7,MSC02
mixed,0.55,MSC02
mixed,0.75,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.3,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.3,MSC02
mixed,0.75,MSC02
mixed,0.55,MSC02
mixed,0.75,MSC02
mixed,0.75,MSC02
mixed,0.75,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.8,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.75,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.35,MSC02
mixed,0.65,MSC02
mixed,0.35,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.7,MSC02
mixed,0.7,MSC02
mixed,0.4,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.4,MSC02
mixed,0.35,MSC02
mixed,0.65,MSC02
mixed,0.35,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.75,MSC02
mixed,0.3,MSC02
mixed,0.55,MSC02
mixed,0.8,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.8,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.75,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.35,MSC02
mixed,0.75,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.4,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.4,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.45,MSC02
mixed,0.35,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.85,MSC02
mixed,0.5,MSC02
mixed,0.35,MSC02
mixed,0.25,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.85,MSC02
mixed,0.45,MSC02
mixed,0.3,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.75,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.8,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.7,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.85,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.65,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.35,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.65,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.4,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.25,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.65,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.4,MSC02
mixed,0.4,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.4,MSC02
mixed,0.35,MSC02
mixed,0.35,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.75,MSC02
mixed,0.4,MSC02
mixed,0.35,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.65,MSC02
mixed,0.3,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.25,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.4,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.3,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.35,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.75,MSC02
mixed,0.65,MSC02
mixed,0.4,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.7,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.4,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.2,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.35,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.65,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.45,MSC02
mixed,0.3,MSC02
mixed,0.8,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.3,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.7,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.35,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.25,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.7,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.4,MSC02
mixed,0.7,MSC02
mixed,0.55,MSC02
mixed,0.4,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.2,MSC02
mixed,0.4,MSC02
mixed,0.4,MSC02
mixed,0.5,MSC02
mixed,0.3,MSC02
mixed,0.55,MSC02
mixed,0.3,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.65,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.75,MSC02
mixed,0.4,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.7,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.75,MSC02
mixed,0.55,MSC02
mixed,0.65,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.25,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.4,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.75,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.3,MSC02
mixed,0.45,MSC02
mixed,0.7,MSC02
mixed,0.35,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.8,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.4,MSC02
mixed,0.65,MSC02
mixed,0.25,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.35,MSC02
mixed,0.8,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.8,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.4,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.7,MSC02
mixed,0.3,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.4,MSC02
mixed,0.65,MSC02
mixed,0.35,MSC02
mixed,0.45,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.45,MSC02
mixed,0.7,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.8,MSC02
mixed,0.65,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.75,MSC02
mixed,0.5,MSC02
mixed,0.4,MSC02
mixed,0.35,MSC02
mixed,0.7,MSC02
mixed,0.45,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.8,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.8,MSC02
mixed,0.7,MSC02
mixed,0.7,MSC02
mixed,0.65,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.15,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.2,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.55,MSC02
mixed,0.65,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.45,MSC02
mixed,0.7,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.2,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.2,MSC02
mixed,0.3,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.4,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.75,MSC02
mixed,0.4,MSC02
mixed,0.8,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.45,MSC02
mixed,0.4,MSC02
mixed,0.45,MSC02
mixed,0.3,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.8,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.7,MSC02
mixed,0.4,MSC02
mixed,0.5,MSC02
mixed,0.7,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.45,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.35,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.45,MSC02
mixed,0.65,MSC02
mixed,0.7,MSC02
mixed,0.6,MSC02
mixed,0.6,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.3,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.6,MSC02
mixed,0.5,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.55,MSC02
mixed,0.7,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.65,MSC02
mixed,0.45,MSC02
mixed,0.6,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.5,MSC02
mixed,0.6,MSC02
mixed,0.35,MSC02
mixed,0.35,MSC02
mixed,0.55,MSC02
mixed,0.75,MSC02
mixed,0.4,MSC02
mixed,0.55,MSC02
mixed,0.65,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC02
mixed,0.35,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.4,MSC02
mixed,0.25,MSC02
mixed,0.4,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.65,MSC02
mixed,0.6,MSC02
mixed,0.3,MSC02
mixed,0.5,MSC02
mixed,0.55,MSC02
mixed,0.35,MSC03
mixed,0.6,MSC03
mixed,0.3,MSC03
mixed,0.55,MSC03
mixed,0.35,MSC03
mixed,0.65,MSC03
mixed,0.45,MSC03
mixed,0.45,MSC03
mixed,0.35,MSC03
mixed,0.4,MSC03
mixed,0.55,MSC03
mixed,0.4,MSC03
mixed,0.6,MSC03
mixed,0.45,MSC03
mixed,0.6,MSC03
mixed,0.7,MSC03
mixed,0.6,MSC03
mixed,0.6,MSC03
mixed,0.6,MSC03
mixed,0.7,MSC03
mixed,0.45,MSC03
mixed,0.6,MSC03
mixed,0.45,MSC03
mixed,0.6,MSC03
mixed,0.25,MSC03
mixed,0.65,MSC03
mixed,0.4,MSC03
mixed,0.55,MSC03
mixed,0.45,MSC03
mixed,0.45,MSC03
mixed,0.5,MSC03
mixed,0.5,MSC03
mixed,0.55,MSC03
mixed,0.5,MSC03
mixed,0.5,MSC03
mixed,0.5,MSC03
mixed,0.5,MSC03
mixed,0.6,MSC03
mixed,0.55,MSC03
mixed,0.75,MSC03
mixed,0.45,MSC03
mixed,0.55,MSC03
mixed,0.6,MSC03
mixed,0.7,MSC03
mixed,0.5,MSC03
mixed,0.6,MSC03
mixed,0.2,MSC03
mixed,0.55,MSC03
mixed,0.4,MSC03
mixed,0.5,MSC03
mixed,0.55,MSC03
mixed,0.55,MSC03
mixed,0.45,MSC03
mixed,0.7,MSC03
mixed,0.45,MSC03
mixed,0.6,MSC03
mixed,0.45,MSC03
mixed,0.4,MSC03
mixed,0.3,MSC03
mixed,0.45,MSC03
mixed,0.4,MSC03
mixed,0.6,MSC03
mixed,0.5,MSC03
mixed,0.7,MSC03
mixed,0.75,MSC03
mixed,0.35,MSC03
mixed,0.6,MSC03
mixed,0.6,MSC03
mixed,0.65,MSC03
mixed,0.4,MSC03
mixed,0.55,MSC03
mixed,0.45,MSC03
mixed,0.5,MSC03
mixed,0.5,MSC03
mixed,0.55,MSC03
mixed,0.2,MSC03
mixed,0.45,MSC03
mixed,0.45,MSC03
mixed,0.65,MSC03
mixed,0.35,MSC03
mixed,0.4,MSC03
mixed,0.4,MSC03
mixed,0.7,MSC03
mixed,0.15,MSC03
mixed,0.45,MSC03
mixed,0.55,MSC03
mixed,0.65,MSC03
mixed,0.65,MSC03
mixed,0.65,MSC03
mixed,0.45,MSC03
mixed,0.6,MSC03
mixed,0.6,MSC03
mixed,0.8,MSC03
mixed,0.55,MSC03
mixed,0.45,MSC03
mixed,0.7,MSC03
mixed,0.65,MSC03
mixed,0.4,MSC03
mixed,0.35,MSC03
mixed,0.55,MSC03
mixed,0.5,MSC03
mixed,0.35,MSC03
mixed,0.5,MSC03
mixed,0.75,MSC03
mixed,0.8,MSC03
mixed,0.5,MSC03
mixed,0.55,MSC03
mixed,0.5,MSC03
mixed,0.45,MSC03
mixed,0.7,MSC03
mixed,0.6,MSC03
mixed,0.55,MSC03
mixed,0.55,MSC03
mixed,0.4,MSC03
mixed,0.7,MSC03
mixed,0.6,MSC03
mixed,0.35,MSC03
mixed,0.45,MSC03
mixed,0.5,MSC03
mixed,0.8,MSC03
mixed,0.6,MSC03
mixed,0.6,MSC03
mixed,0.55,MSC03
mixed,0.65,MSC03
mixed,0.6,MSC03
mixed,0.5,MSC03
mixed,0.25,MSC03
mixed,0.65,MSC03
mixed,0.55,MSC03
mixed,0.75,MSC03
mixed,0.65,MSC03
mixed,0.4,MSC03
mixed,0.55,MSC03
mixed,0.7,MSC03
mixed,0.45,MSC03
mixed,0.65,MSC03
mixed,0.15,MSC03
mixed,0.5,MSC03
mixed,0.55,MSC03
mixed,0.65,MSC03
mixed,0.7,MSC03
mixed,0.55,MSC03
mixed,0.4,MSC03
mixed,0.6,MSC03
mixed,0.7,MSC03
mixed,0.55,MSC03
mixed,0.55,MSC03
mixed,0.6,MSC03
mixed,0.45,MSC03
